productId,product_description,imgurl,producturl,stars,reviews,price,category_id,isbestseller,boughtinlastmonth,category_name,quantity,embedding
13        ,"Slim card wallet in full-grain vegetable-tanned leather. Four slots, one center pocket. Ages beautifully.",/products/marco-leather-card-wallet.png,/p/13,4.9,342,95,2,false,0,Accessories,50,
14        ,"Lightweight drawstring trousers in pre-washed European linen. Tapered leg, deep pockets.",/products/marco-linen-drawstring-trousers.png,/p/14,4.7,225,178,1,false,0,Apparel,50,
15        ,Jute-soled espadrille slides with leather footbed. For coastal mornings and golden-hour terraces.,/products/marco-espadrille-slides.png,/p/15,4.6,167,118,5,false,0,Footwear,50,
16        ,"Linen-cotton blend overshirt in sage green. Relaxed fit, chest pocket. A layer that earns its keep.",/products/marco-linen-overshirt-sage.png,/p/16,4.7,143,195,1,false,0,Apparel,50,
17        ,"Full-grain leather holdall with brass buckles. Canvas-lined interior, padded base. Built for 48 hours.",/products/marco-leather-weekend-holdall.png,/p/17,4.9,76,485,2,false,0,Accessories,50,
18        ,"Cotton-linen blend crew neck tee. Pre-washed for softness, slightly textured weave.",/products/marco-cotton-linen-tee.png,/p/18,4.5,412,68,1,false,0,Apparel,50,
19        ,Woven straw panama with black grosgrain ribbon. UPF 50+. Rolls without creasing.,/products/marco-straw-panama-hat.png,/p/19,4.8,98,145,2,false,0,Accessories,50,
20        ,"Three-pack of merino wool crew socks in charcoal, oat, and olive. Temperature-regulating, odor-resistant.",/products/marco-merino-travel-socks.png,/p/20,4.6,534,38,1,false,0,Apparel,50,
21        ,"Set of four hand-poured beeswax tapers. Clean burn, subtle honey scent. Arrives tied with cotton twine.",/products/anna-beeswax-taper-candles.png,/p/21,4.8,289,48,3,false,0,Home Decor,50,
22        ,"Set of four linen napkins in soft white with optional monogram. Hemstitched edges, gift-boxed.",/products/anna-monogrammed-napkins.png,/p/22,4.7,178,72,3,false,0,Home Decor,50,
23        ,"Small hand-thrown ceramic ring dish in speckled cream glaze. For the bedside, the vanity, the windowsill.",/products/anna-ceramic-ring-dish.png,/p/23,4.9,412,35,3,false,0,Home Decor,50,
24        ,Silk scarf in muted botanical print — sage leaves and terracotta blooms. Hand-rolled edges.,/products/anna-botanical-scarf.png,/p/24,4.6,145,128,2,false,0,Accessories,50,
25        ,Matte black glass reed diffuser with natural rattan sticks. Neroli and sandalwood. Lasts 3 months.,/products/anna-reed-diffuser.png,/p/25,4.7,367,62,3,false,0,Home Decor,50,
26        ,"Three artisan soap bars in a wooden box — lavender, oat milk, and wild honey. Tied with hemp cord.",/products/anna-handmade-soap-set.png,/p/26,4.8,298,45,4,false,0,Beauty,50,
27        ,"Small ceramic bud vase in dusty rose glaze. For a single stem on a desk, a shelf, a bedside table.",/products/anna-ceramic-bud-vase.png,/p/27,4.6,223,42,3,false,0,Home Decor,50,
28        ,Leather-bound journal with hand-stitched spine. 192 pages of cream laid paper. Refillable.,/products/anna-leather-journal.png,/p/28,4.9,187,58,2,false,0,Accessories,50,
29        ,"Hammered brass photo frame, 5x7. Stands or hangs. The kind of frame that makes a photo feel kept.",/products/anna-brass-photo-frame.png,/p/29,4.7,156,55,3,false,0,Home Decor,50,
30        ,"Cream tissue paper, blush satin ribbon, kraft gift tags with cotton string. Enough for three gifts.",/products/anna-gift-wrapping-kit.png,/p/30,4.5,478,28,6,false,0,Gifts,50,
31        ,"Hand-thrown stoneware pour-over dripper and carafe in ash grey glaze. The morning ritual, elevated.",/products/theo-stoneware-pour-over.png,/p/31,4.9,134,165,3,false,0,Home Decor,50,
32        ,"Raw linen throw blanket in natural flax. Gets softer with every wash. For the chair, the sofa, the bed.",/products/theo-raw-linen-throw.png,/p/32,4.8,201,195,3,false,0,Home Decor,50,
33        ,Hand-carved olive wood cutting board with natural grain patterns. Each one unique — the mark of the tree.,/products/theo-olive-wood-board.png,/p/33,4.7,312,88,3,false,0,Home Decor,50,
34        ,Unglazed terracotta planter with drainage hole. Develops a natural patina over months.,/products/theo-terracotta-planter.png,/p/34,4.6,256,52,3,false,0,Home Decor,50,
35        ,"Minimal brass incense holder with a single channel. Hand-forged, develops patina. For the ritual, not the rush.",/products/theo-brass-incense-holder.png,/p/35,4.8,189,45,3,false,0,Home Decor,50,
36        ,Set of two hand-thrown ceramic tumblers in speckled charcoal glaze. No two exactly alike.,/products/theo-ceramic-tumblers.png,/p/36,4.7,245,78,3,false,0,Home Decor,50,
37        ,"Stoneware bowl in matte cream with deliberate imperfections. For the morning granola, the evening soup.",/products/theo-wabi-sabi-bowl.png,/p/37,4.9,167,65,3,false,0,Home Decor,50,
38        ,"Thick beeswax pillar candle, hand-dipped. Burns for 80 hours. The uneven surface is the point.",/products/theo-beeswax-pillar-candle.png,/p/38,4.6,334,38,3,false,0,Home Decor,50,
39        ,Hand-woven linen table runner in natural undyed flax. The kind of piece that makes a Tuesday feel intentional.,/products/theo-linen-table-runner.png,/p/39,4.7,178,85,3,false,0,Home Decor,50,
40        ,"Japanese-style activated charcoal soap. Handmade in small batches. Detoxifying, grounding, minimal.",/products/theo-charcoal-soap-bar.png,/p/40,4.5,412,24,4,false,0,Beauty,50,
