productId,name,brand,color,price,description,category,tags,rating,reviews,imgUrl,reasoning_lead,reasoning_body,reasoning_urgent,match_reason,badge,tier,image_verified,embedding
11,Linen Camp Shirt,Pellier Editions,Sage,118.0,"Relaxed camp collar in soft sage linen, tumble-washed for lived-in drape from day one.",Linen,"[""minimal"", ""serene"", ""classic"", ""neutral"", ""everyday"", ""slow"", ""linen""]",4.7,142,https://images.unsplash.com/photo-1618932260643-eee4a2f652a6?w=1600&q=85,Picked because sage reads calm against warm summer light,,,"linen, serene, everyday",,2,false,
12,Linen Drawstring Shorts,Pellier Editions,Bone,78.0,Mid-length shorts in lightweight linen with a hand-knotted drawstring and deep slash pockets.,Linen,"[""minimal"", ""neutral"", ""warm"", ""everyday"", ""travel"", ""linen""]",4.6,98,https://images.unsplash.com/photo-1591195853828-11db59a44f6b?w=1600&q=85,"Matched on: neutral, warm, travel",,,"neutral, warm, travel",,2,false,
13,Linen Midi Skirt,Pellier Editions,Wheat,108.0,"Bias-cut midi in washed linen with a low waist tie. Moves quietly, earns its evenings.",Linen,"[""classic"", ""warm"", ""earth"", ""evening"", ""dresses"", ""linen""]",4.7,121,https://images.unsplash.com/photo-1582142306909-195724d0a735?w=1600&q=85,Price watch: $12 below category average.,,Only 4 left.,"evening, warm, dresses",,2,false,
14,Linen Overshirt,Pellier Editions,Driftwood,138.0,Between shirt and jacket. Heavyweight linen with horn buttons and patch pockets that take real pockets-full.,Outerwear,"[""classic"", ""earth"", ""neutral"", ""travel"", ""everyday"", ""outerwear"", ""linen""]",4.8,167,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?w=1600&q=85,Quiet layer that earns its evenings,,,"travel, outerwear, classic",,2,false,
15,Lightweight Chore Jacket,Pellier Editions,Slate,188.0,Japanese cotton-linen chore cloth with a stand collar and three patch pockets. Ages into something personal.,Outerwear,"[""classic"", ""creative"", ""earth"", ""neutral"", ""work"", ""outerwear""]",4.8,203,https://images.unsplash.com/photo-1591047139756-eda7a4cc3e6a?w=1600&q=85,Picked because it pairs with everything you already own,,,"work, classic, outerwear",EDITORS_PICK,2,false,
16,Merino Crew Sweater,Pellier Editions,Dove,148.0,Fine-gauge merino with a set-in sleeve and a hand-linked crew. Lightweight enough for late summer.,Outerwear,"[""minimal"", ""serene"", ""neutral"", ""soft"", ""evening"", ""slow"", ""outerwear""]",4.7,178,https://images.unsplash.com/photo-1576566588028-4147f3842f27?w=1600&q=85,"Matched on: evening, slow, soft",,,"evening, slow, soft",,2,false,
17,Quilted Vest,Pellier Editions,Clay,128.0,Lightly insulated vest in waxed cotton. Cut slim through the body so it layers under a jacket without bulk.,Outerwear,"[""adventurous"", ""earth"", ""outdoor"", ""travel"", ""outerwear""]",4.6,112,https://images.unsplash.com/photo-1617137968427-85924c800a22?w=1600&q=85,Picked because cool summer nights need a quiet answer,,,"outdoor, travel, outerwear",,2,false,
18,Cotton Slip Dress,Pellier Atelier,Pearl,168.0,Silk-cotton slip with a bias cut and adjustable straps. Reads formal or easy depending on how you wear it.,Dresses,"[""minimal"", ""soft"", ""neutral"", ""evening"", ""dresses""]",4.8,189,https://images.unsplash.com/photo-1572804013309-59a88b7e92f1?w=1600&q=85,Picked because you mentioned warm evenings,,,"evening, soft, dresses",JUST_IN,2,false,
19,Poplin Shirt Dress,Pellier Editions,Chambray,138.0,"Crisp cotton poplin with a belted waist and a generous skirt. Quietly structured, endlessly wearable.",Dresses,"[""classic"", ""minimal"", ""neutral"", ""everyday"", ""work"", ""dresses""]",4.7,156,https://images.unsplash.com/photo-1612336307429-8a898d10e223?w=1600&q=85,"Matched on: everyday, work, classic",,,"everyday, work, classic",,2,false,
20,Tiered Cotton Maxi,Pellier Editions,Amber,158.0,Three-tier cotton voile with a smocked bodice and tie straps. Built for long walks and longer evenings.,Dresses,"[""creative"", ""bold"", ""warm"", ""earth"", ""evening"", ""dresses""]",4.8,201,https://images.unsplash.com/photo-1596285305380-9f9a7d3e04f3?w=1600&q=85,Picked because amber reads beautifully in golden hour,,,"evening, warm, dresses",,2,false,
21,Woven Leather Sandal,Pellier Editions,Cognac,148.0,"Hand-woven vegetable-tanned leather in a closed-toe silhouette. Molds to your step, improves with every mile.",Footwear,"[""classic"", ""earth"", ""warm"", ""travel"", ""everyday"", ""footwear""]",4.8,224,https://images.unsplash.com/photo-1603487742131-4160ec999306?w=1600&q=85,"Matched on: travel, classic, footwear",,,"travel, classic, footwear",,2,false,
22,Canvas Court Sneaker,Pellier Editions,Bone,128.0,Low-profile canvas court shoe with a gum rubber sole and a soft leather collar. Quietly iconic.,Footwear,"[""minimal"", ""classic"", ""neutral"", ""everyday"", ""weekend"", ""footwear""]",4.7,298,https://images.unsplash.com/photo-1600269452121-4f2416e55c28?w=1600&q=85,Price watch: $22 below category average.,,Only 7 left.,"everyday, classic, footwear",,2,false,
23,Suede Penny Loafer,Pellier Atelier,Driftwood,218.0,Italian suede on a hand-stitched leather sole. The kind of loafer that goes with denim or with nothing at all.,Footwear,"[""classic"", ""earth"", ""work"", ""evening"", ""footwear""]",4.8,143,https://images.unsplash.com/photo-1605812860427-4024433a70fd?w=1600&q=85,Quiet layer that earns its evenings,,,"work, evening, footwear",,2,false,
24,Waxed Canvas Weekender,Pellier Editions,Olive,248.0,"Waxed cotton canvas with full-grain leather handles and a brass zip. Built for two-night trips, ages for twenty years.",Bags,"[""classic"", ""earth"", ""travel"", ""adventurous"", ""bags"", ""accessories""]",4.9,267,https://images.unsplash.com/photo-1590874103328-eac38a683ce7?w=1600&q=85,Picked because pieces that travel well stay with you,,,"travel, classic, bags",BESTSELLER,2,false,
25,Leather Crossbody,Pellier Editions,Cognac,178.0,Compact crossbody in vegetable-tanned leather with a brass clasp and an adjustable shoulder strap.,Bags,"[""minimal"", ""classic"", ""earth"", ""travel"", ""everyday"", ""bags"", ""accessories""]",4.8,198,https://images.unsplash.com/photo-1590874103328-eac38a683ce7?w=1600&q=85,"Matched on: everyday, travel, classic",,,"everyday, travel, classic",,2,false,
26,Canvas Market Tote,Pellier Editions,Sand,88.0,Heavy cotton canvas with reinforced handles. The tote that disappears into weekend routines and comes back stronger.,Bags,"[""classic"", ""neutral"", ""everyday"", ""weekend"", ""bags"", ""accessories""]",4.7,312,https://images.unsplash.com/photo-1590874103328-eac38a683ce7?w=1600&q=85,"Gift-ready: signature packaging, arrives tomorrow",,,"weekend, everyday, bags",,2,false,
27,Linen Throw Blanket,Pellier Home,Flax,128.0,Heavyweight washed linen throw with hand-tied fringe. Warms slow mornings and quiet evenings alike.,Home,"[""serene"", ""soft"", ""slow"", ""neutral"", ""home""]",4.9,276,https://images.unsplash.com/photo-1616486029423-aaa4789e8c9a?w=1600&q=85,Picked because slow mornings deserve a weight,,,"slow, home, soft",,2,false,
28,Soy Candle in Ceramic,Pellier Home,Stoneware,58.0,"Hand-poured soy wax in a reusable ceramic vessel. Scent of fig leaf, lemon blossom, and clean linen.",Home,"[""minimal"", ""serene"", ""soft"", ""slow"", ""home""]",4.8,421,https://images.unsplash.com/photo-1603006905393-c279bfe03745?w=1600&q=85,"Matched on: slow, home, serene",,,"slow, home, serene",,2,false,
29,Panama Sun Hat,Pellier Editions,Bone,98.0,"Hand-woven Ecuadorian toquilla straw with a grosgrain ribbon band. Folds for packing, snaps back in place.",Accessories,"[""classic"", ""neutral"", ""travel"", ""warm"", ""accessories""]",4.7,168,https://images.unsplash.com/photo-1529958030586-3aae4ca485ff?w=1600&q=85,Picked because the right hat changes the afternoon,,,"travel, warm, accessories",,2,false,
30,Brass Cuff Bracelet,Pellier Atelier,Amber,88.0,Hand-forged brass cuff with a hammered surface that catches the light. Warms in tone with wear.,Accessories,"[""creative"", ""warm"", ""earth"", ""evening"", ""accessories""]",4.8,134,https://images.unsplash.com/photo-1611085583191-a3b181a88401?w=1600&q=85,Quiet layer that earns its evenings,,,"evening, warm, accessories",,2,false,
31,Cropped Linen Tank,Pellier Editions,Bone,68,"Pared-back linen tank with a softly curved hem. Layers under everything, stands on its own.",Tops,"[""minimal"", ""neutral"", ""warm"", ""everyday"", ""linen""]",4.6,102,https://images.unsplash.com/photo-1612336307429-8a898d10e223?w=1600&q=85,"Matched on: minimal, neutral, everyday",,,"minimal, neutral, warm",,3,false,
32,Boxy Cotton Tee,Pellier Editions,Dove,58,"Heavyweight pima cotton in a boxy cut. Sits right at the hip, built to outlast the season.",Tops,"[""minimal"", ""neutral"", ""everyday"", ""weekend""]",4.7,214,https://images.unsplash.com/photo-1618932260643-eee4a2f652a6?w=1600&q=85,Picked because quiet basics carry the week,,,"minimal, neutral, everyday",,3,false,
33,Silk-Blend Camisole,Pellier Atelier,Pearl,108,"French seam silk-blend camisole with adjustable straps. Reads pajama or evening, depending.",Tops,"[""minimal"", ""soft"", ""evening"", ""work""]",4.8,87,https://images.unsplash.com/photo-1591195853828-11db59a44f6b?w=1600&q=85,,,,"minimal, soft, evening",,3,false,
34,Striped Breton Tee,Pellier Editions,Bone,78,Classic Breton stripe in a mid-weight cotton knit. Saint-Malo by way of everywhere.,Tops,"[""classic"", ""neutral"", ""everyday"", ""travel""]",4.7,198,https://images.unsplash.com/photo-1576566588028-4147f3842f27?w=1600&q=85,"Matched on: classic, neutral, travel",,,"classic, neutral, everyday",,3,false,
35,Poplin Band-Collar Shirt,Pellier Editions,Chambray,108,"Cotton poplin with a collarless band neckline. Crisp, quiet, quietly formal.",Tops,"[""minimal"", ""neutral"", ""work"", ""classic""]",4.6,76,https://images.unsplash.com/photo-1612336307429-8a898d10e223?w=1600&q=85,,,,"minimal, neutral, work",,3,false,
36,Waffle Henley,Pellier Editions,Wheat,88,Waffle-textured cotton henley with a three-button placket. Built for layering.,Tops,"[""classic"", ""earth"", ""slow"", ""weekend""]",4.7,142,https://images.unsplash.com/photo-1618932260643-eee4a2f652a6?w=1600&q=85,,,,"classic, earth, slow",,3,false,
37,Silk Shell Top,Pellier Atelier,Sage,128,Washable silk shell in a slight A-line. Tucks in neatly or skims over a waistband.,Tops,"[""minimal"", ""serene"", ""work"", ""evening""]",4.8,93,https://images.unsplash.com/photo-1591195853828-11db59a44f6b?w=1600&q=85,Picked because sage softens terracotta light,,,"minimal, serene, work",,3,false,
38,Long-Sleeve Linen Tee,Pellier Editions,Driftwood,98,Lightweight linen jersey with a relaxed crew. The kind of layer you reach for in shoulder seasons.,Tops,"[""minimal"", ""neutral"", ""everyday"", ""slow"", ""linen""]",4.6,118,https://images.unsplash.com/photo-1576566588028-4147f3842f27?w=1600&q=85,,,,"minimal, neutral, everyday",,3,false,
39,Cotton Gauze Blouse,Pellier Editions,Cream,98,"Double-layer cotton gauze with a keyhole back. Catches a breeze, holds its shape.",Tops,"[""soft"", ""serene"", ""warm"", ""everyday""]",4.7,154,https://images.unsplash.com/photo-1612336307429-8a898d10e223?w=1600&q=85,,,,"soft, serene, warm",,3,false,
40,Knit Polo,Pellier Editions,Slate,118,Fine-gauge cotton knit polo with a mother-of-pearl placket. Quiet Italian reference.,Tops,"[""classic"", ""neutral"", ""work"", ""evening""]",4.7,132,https://images.unsplash.com/photo-1618932260643-eee4a2f652a6?w=1600&q=85,"Matched on: work, classic, evening",,,"classic, neutral, work",,3,false,
41,Cropped Cardigan,Pellier Editions,Clay,128,Cropped merino cardigan with scalloped cuffs. Unbuttons in a way that reads considered.,Tops,"[""creative"", ""warm"", ""earth"", ""evening""]",4.8,88,https://images.unsplash.com/photo-1591195853828-11db59a44f6b?w=1600&q=85,,,,"creative, warm, earth",,3,false,
42,Oversized Button-Down,Pellier Editions,Indigo,118,"Deliberately oversized in a washed cotton. Tuck it, knot it, wear it open over a tank.",Tops,"[""creative"", ""neutral"", ""everyday"", ""weekend""]",4.6,167,https://images.unsplash.com/photo-1576566588028-4147f3842f27?w=1600&q=85,,,,"creative, neutral, everyday",,3,false,
43,High-Waist Denim,Pellier Editions,Indigo,148,"Japanese selvedge denim in a straight, high-waisted cut. Rigid at first, familiar by week two.",Bottoms,"[""classic"", ""earth"", ""everyday"", ""work""]",4.8,287,https://images.unsplash.com/photo-1621767527621-ecdea6e1c522?w=1600&q=85,Picked because selvedge rewards patience,,,"classic, earth, everyday",BESTSELLER,3,false,
44,Wide-Leg Trousers,Pellier Editions,Slate,138,Fluid wool-blend trousers with a pleated front and a clean straight leg.,Bottoms,"[""classic"", ""neutral"", ""work"", ""evening""]",4.7,134,https://images.unsplash.com/photo-1591195853828-11db59a44f6b?w=1600&q=85,,,,"classic, neutral, work",,3,false,
45,Cotton Utility Pant,Pellier Editions,Olive,118,Lightweight ripstop cotton with deep cargo pockets and an elastic waistband. Weekend in a single piece.,Bottoms,"[""adventurous"", ""earth"", ""outdoor"", ""travel""]",4.7,176,https://images.unsplash.com/photo-1582142306909-195724d0a735?w=1600&q=85,,,,"adventurous, earth, outdoor",,3,false,
46,Bias-Cut Midi Skirt,Pellier Atelier,Amber,168,Silk-wool blend cut on the bias. Reads evening without trying.,Bottoms,"[""creative"", ""warm"", ""evening"", ""dresses""]",4.8,98,https://images.unsplash.com/photo-1621767527621-ecdea6e1c522?w=1600&q=85,"Matched on: evening, warm, dresses",,,"creative, warm, evening",,3,false,
47,Linen Palazzo,Pellier Editions,Flax,128,"Wide-leg palazzo in heavyweight linen. Moves like a dress, packs like a pant.",Bottoms,"[""creative"", ""warm"", ""travel"", ""linen""]",4.7,112,https://images.unsplash.com/photo-1591195853828-11db59a44f6b?w=1600&q=85,,,,"creative, warm, travel",,3,false,
48,Chino in Organic Cotton,Pellier Editions,Wheat,118,GOTS-certified cotton chino with a tapered leg. A quieter answer to the everyday pant.,Bottoms,"[""classic"", ""neutral"", ""everyday"", ""work""]",4.6,204,https://images.unsplash.com/photo-1582142306909-195724d0a735?w=1600&q=85,,,,"classic, neutral, everyday",,3,false,
49,Pull-On Corduroy Trouser,Pellier Editions,Cognac,138,Fine-wale corduroy with an elastic waist and a relaxed straight leg. Autumn in fabric form.,Bottoms,"[""slow"", ""earth"", ""weekend"", ""classic""]",4.7,98,https://images.unsplash.com/photo-1621767527621-ecdea6e1c522?w=1600&q=85,,,,"slow, earth, weekend",,3,false,
50,Pleated Mini Skirt,Pellier Editions,Forest,108,Knife-pleated mini in a cotton-wool blend. Short in the best sense.,Bottoms,"[""creative"", ""bold"", ""everyday"", ""dresses""]",4.6,84,https://images.unsplash.com/photo-1591195853828-11db59a44f6b?w=1600&q=85,,,,"creative, bold, everyday",,3,false,
51,Linen Wrap Dress,Pellier Editions,Russet,158,True wrap silhouette in washed linen with a self-tie waist. Reads wedding guest or farmer's market.,Dresses,"[""creative"", ""warm"", ""earth"", ""evening"", ""dresses"", ""linen""]",4.8,167,https://images.unsplash.com/photo-1572804013309-59a88b7e92f1?w=1600&q=85,Picked because the wrap reads warm at golden hour,,,"creative, warm, earth",,3,false,
52,Silk Slip Midi,Pellier Atelier,Dove,228,Pure silk charmeuse slip with adjustable straps. The one dress that packs into nothing.,Dresses,"[""minimal"", ""soft"", ""evening"", ""dresses""]",4.9,201,https://images.unsplash.com/photo-1596285305380-9f9a7d3e04f3?w=1600&q=85,Quiet layer that earns its evenings,,,"minimal, soft, evening",EDITORS_PICK,3,false,
53,Cotton Smock Dress,Pellier Editions,Sage,138,"Smocked bodice with a tiered cotton voile skirt. Cool, forgiving, ready for heat.",Dresses,"[""soft"", ""serene"", ""warm"", ""everyday"", ""dresses""]",4.7,143,https://images.unsplash.com/photo-1667905632551-361dd00e5e35?w=1600&q=85,,,,"soft, serene, warm",,3,false,
54,Off-Shoulder Linen Dress,Pellier Editions,Pearl,148,Off-shoulder linen with a smocked back and tie straps. Summer distilled.,Dresses,"[""creative"", ""warm"", ""evening"", ""dresses"", ""linen""]",4.7,128,https://images.unsplash.com/photo-1572804013309-59a88b7e92f1?w=1600&q=85,,,,"creative, warm, evening",,3,false,
55,Tunic Shirtdress,Pellier Editions,Chambray,128,"Tunic-length cotton shirtdress with side slits. Worn loose, belted, or over swim.",Dresses,"[""classic"", ""neutral"", ""travel"", ""everyday"", ""dresses""]",4.7,118,https://images.unsplash.com/photo-1596285305380-9f9a7d3e04f3?w=1600&q=85,,,,"classic, neutral, travel",,3,false,
56,Knit Column Dress,Pellier Atelier,Onyx,198,Merino knit column with long sleeves and a mock neck. Evening without effort.,Dresses,"[""minimal"", ""classic"", ""evening"", ""work"", ""dresses""]",4.8,114,https://images.unsplash.com/photo-1667905632551-361dd00e5e35?w=1600&q=85,"Matched on: evening, work, classic",,,"minimal, classic, evening",,3,false,
57,Poplin Mini Dress,Pellier Editions,Bone,128,Crisp cotton poplin with tiny covered buttons and a flared skirt. Reads garden party.,Dresses,"[""creative"", ""neutral"", ""warm"", ""dresses""]",4.7,98,https://images.unsplash.com/photo-1572804013309-59a88b7e92f1?w=1600&q=85,,,,"creative, neutral, warm",,3,false,
58,Cotton Kaftan,Pellier Editions,Amber,148,Block-printed cotton kaftan with gold-embroidered neckline. Traveler's answer to a warm night.,Dresses,"[""bold"", ""warm"", ""earth"", ""travel"", ""dresses""]",4.7,87,https://images.unsplash.com/photo-1596285305380-9f9a7d3e04f3?w=1600&q=85,,,,"bold, warm, earth",,3,false,
59,Linen Blazer,Pellier Atelier,Oatmeal,298,"Unstructured linen blazer with patch pockets and half-canvas construction. Summer tailoring, quietly done.",Outerwear,"[""classic"", ""neutral"", ""work"", ""evening"", ""outerwear"", ""linen""]",4.8,156,https://images.unsplash.com/photo-1687275168013-dcc11d9c74ab?w=1600&q=85,Picked because unstructured tailoring reads assured,,,"classic, neutral, work",,3,false,
60,Trench in Cotton Gabardine,Pellier Editions,Wheat,348,Belted trench in weather-sealed cotton gabardine. Classic for reasons that don't need explaining.,Outerwear,"[""classic"", ""neutral"", ""travel"", ""work"", ""outerwear""]",4.9,203,https://images.unsplash.com/photo-1591047139756-eda7a4cc3e6a?w=1600&q=85,"Matched on: classic, travel, work",,,"classic, neutral, travel",,3,false,
61,Suede Moto,Pellier Atelier,Cognac,498,Italian lambskin suede in a close-fitting moto cut. Ages to a patina you can't buy new.,Outerwear,"[""bold"", ""warm"", ""earth"", ""evening"", ""outerwear""]",4.8,124,https://images.unsplash.com/photo-1617137968427-85924c800a22?w=1600&q=85,,,,"bold, warm, earth",,3,false,
62,Waxed Cotton Anorak,Pellier Editions,Forest,248,Half-zip anorak in British waxed cotton with a kangaroo pocket. Rain in its natural environment.,Outerwear,"[""adventurous"", ""earth"", ""outdoor"", ""travel"", ""outerwear""]",4.7,98,https://images.unsplash.com/photo-1687275168013-dcc11d9c74ab?w=1600&q=85,,,,"adventurous, earth, outdoor",,3,false,
63,Wool Overshirt,Pellier Editions,Slate,228,"Mid-weight wool overshirt with horn buttons. Shirt energy, jacket warmth.",Outerwear,"[""classic"", ""earth"", ""slow"", ""weekend"", ""outerwear""]",4.7,112,https://images.unsplash.com/photo-1591047139756-eda7a4cc3e6a?w=1600&q=85,,,,"classic, earth, slow",,3,false,
64,Puffer Vest,Pellier Editions,Onyx,198,Recycled down puffer vest with a smooth matte shell. Warmth without the bulk.,Outerwear,"[""adventurous"", ""outdoor"", ""travel"", ""outerwear""]",4.6,167,https://images.unsplash.com/photo-1617137968427-85924c800a22?w=1600&q=85,,,,"adventurous, outdoor, travel",,3,false,
65,Espadrille Flat,Pellier Editions,Sand,98,Canvas upper on a jute-wrapped sole. Summer footwear at its most elemental.,Footwear,"[""classic"", ""neutral"", ""warm"", ""travel"", ""footwear""]",4.7,289,https://images.unsplash.com/photo-1603487742131-4160ec999306?w=1600&q=85,Price watch: $18 below category average.,,,"classic, neutral, warm",BESTSELLER,3,false,
66,Leather Chelsea Boot,Pellier Atelier,Onyx,298,"Goodyear-welted Chelsea in box-calf leather. Pulled on, kicked off, resoled for years.",Footwear,"[""classic"", ""earth"", ""work"", ""evening"", ""footwear""]",4.8,198,https://images.unsplash.com/photo-1605812860427-4024433a70fd?w=1600&q=85,,,,"classic, earth, work",,3,false,
67,Running Sneaker,Pellier Editions,Dove,148,"Knit upper on a cushioned EVA sole. Daily miles, city or path.",Footwear,"[""adventurous"", ""everyday"", ""outdoor"", ""footwear""]",4.7,234,https://images.unsplash.com/photo-1625318880107-49baad6765fd?w=1600&q=85,"Matched on: everyday, outdoor, athletic",,,"adventurous, everyday, outdoor",,3,false,
68,Mule Clog,Pellier Editions,Cognac,138,Leather mule on a stacked wooden heel. A quiet statement for a loud summer.,Footwear,"[""creative"", ""earth"", ""everyday"", ""footwear""]",4.6,112,https://images.unsplash.com/photo-1600269452121-4f2416e55c28?w=1600&q=85,,,,"creative, earth, everyday",,3,false,
69,Ankle-Strap Sandal,Pellier Atelier,Bone,178,Thin leather straps on a low block heel. Evening sandal that walks a city.,Footwear,"[""minimal"", ""classic"", ""evening"", ""footwear""]",4.7,134,https://images.unsplash.com/photo-1603487742131-4160ec999306?w=1600&q=85,,,,"minimal, classic, evening",,3,false,
70,Canvas Slip-On,Pellier Editions,Olive,98,Garment-washed canvas slip-on with a cushioned footbed. Weekend in a shoe.,Footwear,"[""classic"", ""neutral"", ""weekend"", ""everyday"", ""footwear""]",4.6,187,https://images.unsplash.com/photo-1605812860427-4024433a70fd?w=1600&q=85,,,,"classic, neutral, weekend",,3,false,
71,Leather Derby,Pellier Atelier,Cognac,268,"Hand-stitched derby in Italian leather. Wears a suit, wears jeans.",Footwear,"[""classic"", ""earth"", ""work"", ""footwear""]",4.8,98,https://images.unsplash.com/photo-1625318880107-49baad6765fd?w=1600&q=85,,,,"classic, earth, work",,3,false,
72,Knit Runner,Pellier Editions,Slate,168,"Seamless knit upper with a sculpted rubber sole. Built for heat, built for pavement.",Footwear,"[""adventurous"", ""everyday"", ""outdoor"", ""travel"", ""footwear""]",4.7,156,https://images.unsplash.com/photo-1600269452121-4f2416e55c28?w=1600&q=85,,,,"adventurous, everyday, outdoor",,3,false,
73,Saddle Bag,Pellier Atelier,Cognac,348,Vegetable-tanned leather saddle with a brass buckle closure. Ages into a shade you'll recognize for decades.,Bags,"[""classic"", ""earth"", ""evening"", ""travel"", ""bags"", ""accessories""]",4.9,167,https://images.unsplash.com/photo-1657118493503-9cabb641a033?w=1600&q=85,Picked because leather earns its character,,,"classic, earth, evening",EDITORS_PICK,3,false,
74,Leather Backpack,Pellier Editions,Onyx,298,Minimalist leather backpack with a padded laptop sleeve and drawstring close. Commute and carry-on in one.,Bags,"[""minimal"", ""classic"", ""travel"", ""work"", ""bags"", ""accessories""]",4.8,212,https://images.unsplash.com/photo-1590874103328-eac38a683ce7?w=1600&q=85,"Matched on: travel, work, classic",,,"minimal, classic, travel",,3,false,
75,Canvas Duffle,Pellier Editions,Olive,198,"Waxed canvas duffle with leather end caps. Overnight, gym, overnight again.",Bags,"[""classic"", ""earth"", ""travel"", ""bags"", ""accessories""]",4.7,143,https://images.unsplash.com/photo-1657118493503-9cabb641a033?w=1600&q=85,,,,"classic, earth, travel",,3,false,
76,Bucket Bag,Pellier Editions,Sand,168,Drawstring leather bucket with a removable crossbody strap. Roomy without reading oversized.,Bags,"[""classic"", ""neutral"", ""everyday"", ""bags"", ""accessories""]",4.7,134,https://images.unsplash.com/photo-1590874103328-eac38a683ce7?w=1600&q=85,,,,"classic, neutral, everyday",,3,false,
